numero,archivo_original,sku_detectado,estado
1,1.png,NO_SKU,sin_sku
2,2.png,CA45016,ok
3,3.png,CA45015,ok
4,4.png,CA45009,ok
5,5.png,CA45004,ok
6,6.png,CA45020,ok
7,7.png,CA45008,ok
8,8.png,CA45017,ok
9,9.png,CA45006,ok
10,10.png,CA45019,ok
11,11.png,CA45005,ok
12,12.png,CA45012,ok
13,13.png,CA45003,ok
14,14.png,CA45013,ok
15,15.png,CA45026,ok
16,16.png,CA45021,ok
17,17.png,CA45021,ok
18,18.png,CA45023,ok
19,19.png,CA45024,ok
20,20.png,CA45025,ok
21,21.png,CA45010,ok
22,22.png,NO_SKU,sin_sku
23,23.png,CA50008,ok
24,24.png,CA50006,ok
25,25.png,CA50004,ok
26,26.png,CA50007,ok
27,27.png,CA50009,ok
28,28.png,CA50011,ok
29,29.png,CA50010,ok
30,30.png,CA50012,ok
31,31.png,NO_SKU,sin_sku
32,32.png,CA60017,ok
33,33.png,CA600005,ok
34,34.png,CA60020,ok
35,35.png,CA60004,ok
36,36.png,CA60016,ok
37,37.png,CA60014,ok
38,38.png,CA60008,ok
39,39.png,CA60013,ok
40,40.png,CA60021,ok
41,41.png,CA600019,ok
42,42.png,CA60025,ok
43,43.png,CA60026,ok
44,44.png,CA60027,ok
45,45.png,CA60028,ok
46,46.png,CA60023,ok
47,47.png,CA60029,ok
48,48.png,CA60030,ok
49,49.png,CA60010,ok
50,50.png,CA60022,ok
51,51.png,CA60009,ok
52,52.png,CA60034,ok
53,53.png,CA60033,ok
54,54.png,CA60032,ok
55,55.png,CA60031,ok
56,56.png,CA60035,ok
57,57.png,CA60018,ok
58,58.png,CA60010,ok
59,59.png,CA60037,ok
60,60.png,CA600040,ok
61,61.png,CA60038,ok
62,62.png,CA600039,ok
63,63.png,CA45026,ok
64,64.png,CA45003,ok
65,65.png,CA45013,ok
66,66.png,NO_SKU,sin_sku
67,67.png,AC024,ok
68,68.png,AC013,ok
69,69.png,AC016,ok
70,70.png,AC012,ok
71,71.png,AC019,ok
72,72.png,ACO23,ok
73,73.png,AC029,ok
74,74.png,AC033,ok
75,75.png,AC027,ok
76,76.png,AC026,ok
77,77.png,AC031,ok
78,78.png,AC035,ok
79,79.png,AC030,ok
80,80.png,ACO21,ok
81,81.png,AC010,ok
82,82.png,AC047,ok
83,83.png,AC046,ok
84,84.png,AC037,ok
85,85.png,AC036,ok
86,86.png,AC045,ok
87,87.png,AC039,ok
88,88.png,AC044,ok
89,89.png,AC041,ok
90,90.png,AC024,ok
91,91.png,TORM007,ok
92,92.png,TOLM011,ok
93,93.png,TOLM010,ok
94,94.png,TOLM012,ok
95,95.png,TOLM008,ok
96,96.png,TOLM009,ok
97,97.png,TOLM007,ok
98,98.png,TOLM013-VERDE,ok
99,99.png,TOLM013-NEGRO,ok
100,100.png,TOLM013ROSA,ok
101,101.png,TOLM016,ok
102,102.png,TOLM015,ok
103,103.png,ERROR,error
104,104.png,ERROR,error
105,105.png,ERROR,error
106,106.png,ERROR,error
107,107.png,ERROR,error
108,108.png,ERROR,error
109,109.png,ERROR,error
110,110.png,ERROR,error
111,111.png,ERROR,error
112,112.png,ERROR,error
113,113.png,ERROR,error
114,114.png,ERROR,error
115,115.png,ERROR,error
116,116.png,ERROR,error
117,117.png,ERROR,error
118,118.png,ERROR,error
119,119.png,ERROR,error
120,120.png,ERROR,error
121,121.png,ERROR,error
122,122.png,ERROR,error
123,123.png,ERROR,error
124,124.png,ERROR,error
125,125.png,ERROR,error
126,126.png,ERROR,error
127,127.png,ERROR,error
128,128.png,ERROR,error
129,129.png,ERROR,error
130,130.png,ERROR,error
131,131.png,ERROR,error
132,132.png,ERROR,error
133,133.png,ERROR,error
134,134.png,ERROR,error
135,135.png,ERROR,error
136,136.png,ERROR,error
137,137.png,ERROR,error
138,138.png,ERROR,error
139,139.png,ERROR,error
140,140.png,ERROR,error
141,141.png,ERROR,error
142,142.png,ERROR,error
143,143.png,ERROR,error
144,144.png,ERROR,error
145,145.png,ERROR,error
146,146.png,ERROR,error
147,147.png,ERROR,error
148,148.png,ERROR,error
149,149.png,ERROR,error
150,150.png,ERROR,error
151,151.png,ERROR,error
152,152.png,ERROR,error
153,153.png,ERROR,error
154,154.png,ERROR,error
155,155.png,ERROR,error
156,156.png,ERROR,error
157,157.png,ERROR,error
